,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
1,0.0,0.0,4.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0
2,0.0,1.0,3.0,1.0,0.0,0.0,0.6,0.2,0.0,-0.25,0.25
3,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0
4,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
5,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.5
6,0.0,1.0,4.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.5
7,0.0,1.0,3.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.5
8,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
9,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
10,2.0,4.0,39.0,2.0,0.2,0.2,0.875,0.125,0.2,0.175,0.625
